Date,Type,RefNo,Cur,TUPrice,ODAmt,Amt,Worth,Customer Code,StkISN,CatCode,Exchange Rate,Quantity,Profit,Country
1/3/2015,ICG,133485,S$,8.5,1700,-1700,-775.22,IT04,41234,SSS,1,200,924.78,Indonesia
1/6/2015,ICG,133486,S$,3.8,152.76,-152.76,-112.14,IG01,45622,PR03,1,40.2,40.62,Indonesia
1/6/2015,ICG,133486,S$,3.8,152,-152,-111.88,IG01,45624,PR03,1,40,40.12,Indonesia
1/6/2015,ICG,133486,S$,8.5,850,-850,-544.17,IG01,45642,M028,1,100,305.83,Indonesia
1/6/2015,ICG,133486,S$,7.9,2370,-2370,-1597.2,IG01,45569,M023,1,300,772.8,Indonesia
1/6/2015,ICG,133486,S$,8.7,870,-870,-556.36,IG01,45570,M023,1,100,313.64,Indonesia
1/6/2015,ICG,133486,S$,11.7,1872,-1872,-1346.07,IG01,46425,NN,1,160,525.93,Indonesia
1/6/2015,ICG,133486,S$,6.5,1625,-1625,-1152.5,IG01,43513,ML,1,250,472.5,Indonesia
1/6/2015,ICG,133486,S$,4.5,217.8,-217.8,-172.82,IG01,46357,P12,1,48.4,44.98,Indonesia
1/6/2015,ICG,133486,S$,1,312,-312,-224.92,IG01,46193,NT,1,312,87.08,Indonesia
1/5/2015,ICG,133487,S$,22.5,1935,-1935,-1648.4,IT08,10005,BN,1,86,286.6,Indonesia
1/5/2015,ICG,133487,S$,22.5,1080,-1080,-881.68,IT08,10009,BN,1,48,198.32,Indonesia
1/5/2015,ICG,133487,S$,22.5,1620,-1620,-1333.43,IT08,10010,BN,1,72,286.57,Indonesia
1/5/2015,ICG,133487,S$,22.5,2385,-2385,-1947.03,IT08,10008,BN,1,106,437.97,Indonesia
1/5/2015,ICG,133487,S$,22.5,540,-540,-440.83,IT08,10011,BN,1,24,99.17,Indonesia
1/6/2015,ICG,133488,S$,4.8,1200,-1200,-985.17,IT08,41392,PET1,1,250,214.83,Indonesia
1/6/2015,ICG,133488,S$,4.8,720,-720,-574.75,IT08,40153,PET1,1,150,145.25,Indonesia
1/6/2015,ICG,133488,S$,4.6,230,-230,-175.51,IT08,41395,PET1,1,50,54.49,Indonesia
1/6/2015,ICG,133488,S$,4.6,230,-230,-185.29,IT08,40161,PET1,1,50,44.71,Indonesia
1/6/2015,ICG,133488,S$,4.6,230,-230,-175.14,IT08,41936,PET1,1,50,54.86,Indonesia
1/6/2015,ICG,133488,S$,4.6,230,-230,-175.14,IT08,42168,PET1,1,50,54.86,Indonesia
1/6/2015,ICG,133488,S$,6.5,975,-975,-748.24,IT08,43512,ML,1,150,226.76,Indonesia
1/6/2015,ICG,133488,S$,2.5,528,-528,-435.14,IT08,30262,PR04,1,211.2,92.86,Indonesia
1/6/2015,ICG,133488,S$,2.5,686,-686,-557.22,IT08,10379,PR05,1,274.4,128.78,Indonesia
1/6/2015,ICG,133488,S$,2.5,286,-286,-233.15,IT08,10401,PR08,1,114.4,52.85,Indonesia
1/6/2015,ICG,133488,S$,2.5,250.5,-250.5,-198.77,IT08,30287,PR14,1,100.2,51.73,Indonesia
1/6/2015,ICG,133488,S$,2.5,455.25,-455.25,-368.09,IT08,43837,PR12,1,182.1,87.16,Indonesia
1/6/2015,ICG,133488,S$,1.2,288,-288,-170.72,IT08,46209,MLS,1,240,117.28,Indonesia
1/6/2015,ICG,133488,S$,1.2,288,-288,-161.69,IT08,45851,MLS,1,240,126.31,Indonesia
1/6/2015,ICG,133489,S$,11.3,24860,-24860,-19266.56,IK11,40084,NN,1,2200,5593.44,Indonesia
1/6/2015,ICG,133489,S$,3.4,303.96,-303.96,-238.9,IK11,41015,PPDR,1,89.4,65.06,Indonesia
1/6/2015,ICG,133489,S$,1.2,230.4,-230.4,-126.9,IK11,45852,MLS,1,192,103.5,Indonesia
1/6/2015,ICG,133489,S$,11.6,580,-580,-423.01,IK11,46469,NT,1,50,156.99,Indonesia
1/6/2015,ICG,133489,S$,11.6,1160,-1160,-864.47,IK11,45943,MLS,1,100,295.53,Indonesia
1/6/2015,ICG,133489,S$,12.1,1210,-1210,-1100,IK11,43022,TN,1,100,110,Indonesia
1/6/2015,ICG,133489,S$,12.1,1210,-1210,-1100,IK11,43021,TN,1,100,110,Indonesia
1/6/2015,ICG,133489,S$,7,770,-770,-542.85,IK11,46094,PB,1,110,227.15,Indonesia
1/6/2015,ICG,133490,S$,3.4,435.54,-435.54,-352.29,IK06,40728,PPDR,1,128.1,83.25,Indonesia
1/6/2015,ICG,133490,S$,3.4,283.22,-283.22,-230.85,IK06,10458,PPDR,1,83.3,52.37,Indonesia
1/6/2015,ICG,133490,S$,1.05,315,-315,-217.03,IK06,46385,NT,1,300,97.97,Indonesia
1/6/2015,ICG,133490,S$,1.2,230.4,-230.4,-126.9,IK06,45852,MLS,1,192,103.5,Indonesia
1/6/2015,ICG,133490,S$,6.5,208,-208,-142.45,IK06,45894,WP,1,32,65.55,Indonesia
1/6/2015,ICG,133490,S$,27,648,-648,-409.25,IK06,40412,WP,1,24,238.75,Indonesia
1/6/2015,ICG,133490,S$,11.5,4600,-4600,-3475.86,IK06,46159,NN,1,400,1124.14,Indonesia
1/6/2015,ICG,133490,S$,6.1,823.5,-823.5,-565.34,IK06,10224,NT,1,135,258.16,Indonesia
